"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",CAR,"RB1","13"," 1.2","0","+8.0","100% (3/3)"
"2",1,"Dalvin Cook",MIN,"RB2","7"," 4.6","0","+4.0","57% (8/14)"
"3",1,"Alvin Kamara",NO,"RB3","6"," 3.6","0","+3.1","53% (8/15)"
"4",1,"Davante Adams",GB,"WR1","13"," 4.6","+3","+2.8","57% (8/14)"
"5",1,"Ezekiel Elliott",DAL,"RB4","7"," 3.8","0","-2.9","33% (5/15)"
"6",1,"Derrick Henry",TEN,"RB5","13"," 5.0","-2","+2.1","50% (8/16)"
"7",2,"Austin Ekeler",LAC,"RB6","7"," 8.6","+6","-4.5","33% (4/12)"
"8",2,"Aaron Jones",GB,"RB7","13"," 3.8","+4","+0.8","42% (6/14)"
"9",2,"Tyreek Hill",KC,"WR2","12"," 3.4","+1","+3.1","60% (9/15)"
"10",2,"Saquon Barkley",NYG,"RB8","10"," 2.0","-4","-11.3","0% (0/2)"
"11",2,"Stefon Diggs",BUF,"WR3","7"," 6.0","+3","+1.8","50% (8/16)"
"12",2,"DeAndre Hopkins",ARI,"WR4","12"," 1.0","+4","-1.9","56% (9/16)"
"13",2,"Calvin Ridley",ATL,"WR5","6"," 5.0","+7","-0.1","46% (7/15)"
"14",2,"Travis Kelce",KC,"TE1","12"," 6.2","-6","+2.1","62% (10/16)"
"15",2,"Jonathan Taylor",IND,"RB9","14"," 6.4","-4","+2.1","57% (8/14)"
"16",3,"Justin Jefferson",MIN,"WR6","7"," 1.8","+7","+2.5","56% (9/16)"
"17",3,"Nick Chubb",CLE,"RB10","13"," 9.0","-8","+2.6","58% (7/12)"
"18",3,"Darren Waller",LV,"TE2","8"," 5.0","+7","+0.8","37% (6/16)"
"19",3,"Antonio Gibson",WAS,"RB11","9"," 4.8","-2","+1.0","50% (7/14)"
"20",3,"D.K. Metcalf",SEA,"WR7","9"," 2.4","-1","0.0","43% (7/16)"
"21",3,"A.J. Brown",TEN,"WR8","13"," 5.4","+3","+1.5","57% (8/14)"
"22",3,"Keenan Allen",LAC,"WR9","7"," 8.6","+5","-0.8","42% (6/14)"
"23",3,"Joe Mixon",CIN,"RB12","10"," 6.6","-2","+0.1","16% (1/6)"
"24",3,"Najee Harris",PIT,"RB13","7"," 8.2","-9","-","-"
