"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Tampa Bay Buccaneers","","46.4","15.5","11.2","17.4","2.9","1.0","372.9","5,518.6","118.8"
"Pittsburgh Steelers","","47.6","14.7","10.3","15.8","2.7","1.0","366.5","5,556.4","116.1"
"Los Angeles Rams","","46.7","14.2","10.7","15.8","2.7","1.0","372.0","5,618.8","114.8"
"Washington Football Team","","47.1","13.9","10.5","15.7","2.5","0.5","375.3","5,605.2","112.1"
"Indianapolis Colts","","42.1","14.0","10.7","17.0","2.9","1.0","387.5","5,815.8","110.8"
"Baltimore Ravens","","38.7","13.0","11.2","17.8","3.2","1.0","354.4","5,643.2","108.2"
"Philadelphia Eagles","","45.9","12.4","10.3","16.4","2.4","1.0","409.6","6,068.6","107.9"
"Seattle Seahawks","","41.6","13.7","9.9","15.1","2.4","1.5","395.8","6,028.3","106.2"
"Buffalo Bills","","40.2","14.7","9.7","15.0","2.6","0.5","370.1","5,740.4","105.8"
"Arizona Cardinals","","46.4","11.6","10.5","17.1","2.1","1.0","393.7","5,972.0","105.4"
"New Orleans Saints","","43.3","14.5","9.1","12.6","2.5","0.0","380.7","5,642.4","105.4"
"Miami Dolphins","","38.3","15.1","9.1","15.5","2.7","1.0","404.9","6,207.1","104.9"
"New England Patriots","","39.8","15.4","8.9","12.8","2.6","0.5","355.0","5,816.1","104.9"
"Dallas Cowboys","","39.3","13.0","11.8","19.3","2.6","0.0","407.8","6,102.3","104.9"
"Kansas City Chiefs","","37.4","14.5","9.6","15.1","3.1","0.5","388.7","5,972.1","104.8"
"Carolina Panthers","","36.8","13.5","12.1","20.6","2.6","0.5","427.1","6,061.5","104.5"
"Green Bay Packers","","42.1","14.2","8.8","14.1","2.5","0.5","387.3","5,921.4","104.3"
"Cleveland Browns","","39.0","14.1","10.1","15.2","2.5","1.0","392.7","5,928.1","104.0"
"San Francisco 49ers","","41.5","12.8","10.2","16.3","2.4","0.5","376.7","5,505.9","103.0"
"Denver Broncos","","41.8","12.8","9.0","13.9","2.5","0.5","400.0","5,924.7","101.2"
"New York Giants","","39.6","12.9","10.0","16.7","2.4","0.5","411.0","6,078.1","101.0"
"Los Angeles Chargers","","37.6","13.3","8.6","12.1","2.7","0.5","396.1","5,750.1","98.3"
"Atlanta Falcons","","34.7","13.5","10.4","17.4","2.5","0.0","407.2","6,232.5","97.7"
"Minnesota Vikings","","35.2","14.0","8.9","14.8","2.5","0.0","401.6","6,164.0","95.8"
"Chicago Bears","","36.1","11.9","10.1","16.5","2.2","0.5","398.4","5,852.0","94.3"
"Tennessee Titans","","32.7","14.2","8.8","14.5","2.4","0.0","420.9","6,212.5","93.4"
"New York Jets","","35.4","12.7","9.0","15.6","2.1","0.0","422.9","5,990.9","91.4"
"Jacksonville Jaguars","","31.9","12.8","8.1","12.6","2.5","0.5","448.5","6,470.2","89.4"
"Las Vegas Raiders","","31.9","12.8","8.9","13.8","2.3","0.0","450.4","6,155.8","89.3"
"Detroit Lions","","32.4","10.6","8.7","14.8","2.0","0.5","475.9","6,628.4","84.2"
"Houston Texans","","33.7","10.6","8.6","13.8","2.0","0.0","474.4","6,648.5","83.9"
"Cincinnati Bengals","","27.7","12.9","8.4","13.9","2.0","0.5","442.2","6,350.5","83.2"
""
""
