"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.2","400.0","4,566.2","33.7","13.3","110.8","519.6","7.6","5.1","378.5"
"Patrick Mahomes II","KC","630.5","419.0","5,028.0","38.5","9.1","55.3","267.2","2.9","2.5","376.4"
"Kyler Murray","ARI","591.0","391.4","4,215.8","26.7","12.9","125.8","698.8","7.7","3.7","358.5"
"Lamar Jackson","BAL","462.1","296.3","3,377.8","28.6","12.2","152.9","920.2","6.7","4.0","349.0"
"Dak Prescott","DAL","623.3","416.3","4,847.9","31.0","11.1","63.4","296.5","4.0","4.2","341.2"
"Russell Wilson","SEA","569.9","380.1","4,242.9","34.4","12.3","82.8","447.2","2.1","3.5","332.9"
"Aaron Rodgers","GB","571.7","385.6","4,448.0","36.8","7.2","39.9","168.6","1.9","3.1","332.9"
"Justin Herbert","LAC","616.0","400.0","4,581.5","30.5","12.0","61.2","272.9","4.4","2.6","329.5"
"Tom Brady","TB","621.2","404.4","4,694.6","37.1","11.9","24.5","31.7","2.1","2.2","323.5"
"Ryan Tannehill","TEN","527.7","348.9","4,121.3","30.5","10.5","51.8","229.5","3.5","2.9","303.8"
"Jalen Hurts","PHI","540.0","330.0","3,728.2","22.4","14.4","133.8","691.0","5.7","4.8","303.6"
"Joe Burrow","CIN","612.6","400.2","4,317.2","26.5","11.8","54.1","227.4","3.0","4.2","287.5"
"Matthew Stafford","LAR","613.0","405.9","4,570.0","28.5","11.5","33.3","126.4","0.7","3.2","284.4"
"Kirk Cousins","MIN","541.6","364.0","4,272.0","30.1","13.0","35.4","114.4","1.1","4.1","274.9"
"Trevor Lawrence","JAC","589.4","377.0","4,123.8","24.6","13.5","66.9","341.7","2.3","5.2","274.2"
"Matt Ryan","ATL","613.7","400.9","4,508.6","26.8","13.0","32.7","117.4","1.4","4.3","272.9"
"Baker Mayfield","CLE","536.7","342.6","3,943.4","27.9","11.4","44.1","168.1","1.8","3.3","267.5"
"Derek Carr","LV","564.9","374.4","4,309.4","26.4","10.9","30.4","106.9","1.8","5.2","266.9"
"Tua Tagovailoa","MIA","574.0","373.8","3,942.1","25.6","13.5","54.4","205.9","2.7","1.7","266.4"
"Ryan Fitzpatrick","WAS","582.6","385.2","4,116.8","23.4","16.6","50.8","245.1","3.0","2.3","263.2"
"Ben Roethlisberger","PIT","617.4","400.3","4,173.0","29.5","14.0","20.9","45.0","0.5","2.2","260.2"
"Daniel Jones","NYG","546.8","342.3","3,748.0","22.4","13.6","70.3","403.2","2.6","8.5","251.3"
"Sam Darnold","CAR","556.1","350.6","3,920.8","22.0","15.0","50.3","219.8","3.3","3.9","248.7"
"Zach Wilson","NYJ","547.5","343.8","3,861.0","21.0","15.7","64.7","306.9","2.2","5.5","240.3"
"Jared Goff","DET","579.6","371.3","4,157.8","22.4","14.9","39.9","89.3","1.7","4.2","236.8"
"Trey Lance","SF","419.4","272.7","3,163.0","20.3","11.1","78.2","395.5","3.2","4.0","236.4"
"Carson Wentz","IND","468.5","293.0","3,213.9","21.4","11.4","53.8","235.0","2.6","5.7","218.9"
"Justin Fields","CHI","398.6","254.3","2,713.1","17.2","9.6","62.8","316.7","2.5","5.0","195.2"
"Deshaun Watson","HOU","333.9","227.9","2,721.8","16.0","7.4","48.4","228.7","2.6","2.0","192.3"
"Cam Newton","NE","303.6","198.4","2,188.1","12.7","9.6","81.7","354.2","5.7","1.8","184.9"
"Jameis Winston","NO","383.0","248.0","2,790.5","18.9","12.7","38.1","161.1","0.9","3.9","175.7"
"Drew Lock","DEN","319.7","188.0","2,154.3","13.5","9.9","34.7","136.7","1.3","2.9","135.8"
"Taysom Hill","NO","183.4","122.4","1,282.4","7.6","4.9","74.5","390.3","4.5","3.4","131.0"
"Tyrod Taylor","HOU","281.3","172.7","1,959.6","10.3","5.3","30.1","142.2","1.2","1.1","128.5"
"Teddy Bridgewater","DEN","235.2","153.0","1,727.5","10.3","6.8","24.9","108.7","1.5","0.7","114.7"
"Mac Jones","NE","217.8","136.5","1,536.1","8.9","6.2","18.6","68.8","0.9","1.2","94.3"
"Andy Dalton","CHI","203.6","129.7","1,400.5","8.2","4.8","12.8","42.6","0.3","0.8","83.5"
"Davis Mills","HOU","191.2","119.0","1,368.1","6.8","5.1","13.0","55.3","0.6","1.4","78.4"
"Jimmy Garoppolo","SF","160.4","109.2","1,275.3","7.5","4.0","12.2","28.3","0.4","1.2","76.1"
