"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.1","1,301.6","12.0","93.8","760.1","4.3","2.5","392.4"
"","high","351.7","1,616.9","13.0","109.0","935.0","5.0","1.0","431.9"
"","low","247.9","1,056.7","10.0","85.9","679.8","2.6","4.0","341.0"
"Dalvin Cook","MIN","317.5","1,491.6","13.0","54.9","473.3","2.0","2.9","335.1"
"","high","337.9","1,587.8","15.0","63.8","556.0","3.3","1.8","362.1"
"","low","299.9","1,371.7","11.7","46.0","385.0","1.0","4.0","307.9"
"Alvin Kamara","NO","206.9","941.4","9.7","81.0","688.6","3.5","1.9","319.3"
"","high","234.0","1,069.1","12.3","89.0","728.0","4.5","0.8","359.7"
"","low","177.0","813.0","7.5","76.9","658.0","3.0","3.0","299.8"
"Derrick Henry","TEN","343.0","1,703.2","14.2","23.8","178.6","1.1","2.7","298.3"
"","high","374.0","1,920.0","15.4","27.2","201.8","1.3","1.3","323.2"
"","low","323.0","1,533.1","13.3","21.0","145.0","1.0","4.0","281.1"
"Saquon Barkley","NYG","266.0","1,203.3","9.1","55.9","434.1","2.0","1.8","282.2"
"","high","280.0","1,263.6","10.4","63.2","472.8","2.8","0.7","308.8"
"","low","241.0","1,156.0","8.0","50.0","420.7","1.0","3.0","271.0"
"Austin Ekeler","LAC","178.2","810.6","4.7","79.3","684.4","4.6","1.6","281.8"
"","high","215.8","996.5","7.1","89.0","857.0","7.0","1.1","313.9"
"","low","146.0","654.0","3.0","74.4","602.5","2.8","2.0","262.5"
"Ezekiel Elliott","DAL","281.8","1,209.3","9.5","52.8","393.0","2.4","2.9","278.5"
"","high","298.0","1,283.1","10.1","61.7","502.3","3.7","1.8","309.8"
"","low","268.4","1,092.3","8.0","45.0","311.0","2.0","4.0","269.6"
"Aaron Jones","GB","233.6","1,131.5","10.4","50.8","393.2","2.7","2.1","277.9"
"","high","278.6","1,290.9","11.9","56.4","431.7","3.0","1.2","303.6"
"","low","203.7","993.3","8.8","44.0","342.0","2.0","3.0","261.3"
"Jonathan Taylor","IND","270.7","1,255.3","10.9","42.1","321.0","1.6","1.9","270.4"
"","high","295.0","1,351.4","14.0","49.0","384.0","2.0","0.9","297.3"
"","low","253.0","1,206.8","8.0","35.6","263.5","1.0","3.0","256.1"
"Joe Mixon","CIN","274.8","1,157.2","8.1","50.4","368.5","2.9","2.0","264.6"
"","high","288.3","1,267.5","8.8","55.5","416.7","5.0","1.0","286.6"
"","low","264.1","1,060.3","7.4","48.0","339.0","1.8","3.0","244.6"
"Najee Harris","PIT","260.1","1,141.5","8.5","49.3","365.2","2.2","2.6","259.0"
"","high","287.6","1,342.7","10.9","62.0","463.0","3.0","1.2","290.0"
"","low","237.0","974.0","6.0","42.0","308.5","1.7","4.0","244.0"
"Nick Chubb","CLE","273.5","1,371.7","11.1","28.8","225.5","1.0","1.9","257.0"
"","high","310.5","1,643.0","13.0","34.8","278.4","1.5","0.9","285.0"
"","low","222.0","1,110.0","10.0","23.0","197.0","0.0","3.0","227.1"
