"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.1","1,301.6","12.0","93.8","760.1","4.3","2.5","392.4"
"Dalvin Cook","MIN","317.5","1,491.6","13.0","54.9","473.3","2.0","2.9","335.1"
"Alvin Kamara","NO","206.9","941.4","9.7","81.0","688.6","3.5","1.9","319.3"
"Derrick Henry","TEN","343.0","1,703.2","14.2","23.8","178.6","1.1","2.7","298.3"
"Saquon Barkley","NYG","266.0","1,203.3","9.1","55.9","434.1","2.0","1.8","282.2"
"Austin Ekeler","LAC","178.2","810.6","4.7","79.3","684.4","4.6","1.6","281.8"
"Ezekiel Elliott","DAL","281.8","1,209.3","9.5","52.8","393.0","2.4","2.9","278.5"
"Aaron Jones","GB","233.6","1,131.5","10.4","50.8","393.2","2.7","2.1","277.9"
"Jonathan Taylor","IND","270.7","1,255.3","10.9","42.1","321.0","1.6","1.9","270.4"
"Joe Mixon","CIN","274.8","1,157.2","8.1","50.4","368.5","2.9","2.0","264.6"
"Najee Harris","PIT","260.1","1,141.5","8.5","49.3","365.2","2.2","2.6","259.0"
"Nick Chubb","CLE","273.5","1,371.7","11.1","28.8","225.5","1.0","1.9","257.0"
"Antonio Gibson","WAS","242.6","1,086.5","9.7","45.2","328.4","1.4","2.1","249.0"
"Clyde Edwards-Helaire","KC","222.0","998.8","7.3","50.6","389.5","2.2","1.8","242.8"
"D'Andre Swift","DET","189.9","846.1","7.7","58.7","435.2","2.1","2.3","241.3"
"Chris Carson","SEA","230.5","1,055.6","7.4","43.4","321.4","2.4","2.1","235.6"
"David Montgomery","CHI","255.5","1,068.4","8.1","40.1","316.0","1.6","2.0","232.7"
"Miles Sanders","PHI","223.0","1,067.6","6.8","40.7","333.8","1.7","1.8","227.8"
"J.K. Dobbins","BAL","212.0","1,076.3","9.4","31.8","241.1","1.2","1.6","223.9"
"Josh Jacobs","LV","251.2","1,073.2","9.5","31.5","236.5","0.9","2.0","220.6"
"Darrell Henderson","LAR","237.0","1,026.0","7.9","31.8","264.9","1.6","1.8","214.3"
"Mike Davis","ATL","221.8","877.3","6.5","48.8","311.4","1.7","1.9","213.2"
"Chase Edmonds","ARI","169.0","753.1","5.0","51.6","378.6","2.9","1.5","208.9"
"Travis Etienne","JAC","136.9","613.2","4.2","61.5","487.0","2.4","1.9","207.6"
"Myles Gaskin","MIA","186.4","789.8","5.3","43.2","338.2","1.8","1.9","194.5"
"Kareem Hunt","CLE","155.7","689.4","5.6","39.0","314.0","2.5","1.3","185.2"
"James Robinson","JAC","182.2","797.1","5.5","30.4","217.4","1.0","1.5","168.2"
"Raheem Mostert","SF","155.5","774.3","6.1","26.0","224.5","1.4","1.4","168.0"
"Javonte Williams","DEN","188.2","835.2","5.5","25.9","202.7","1.1","2.0","165.4"
"Damien Harris","NE","212.3","998.9","5.9","11.5","87.8","0.3","1.4","154.4"
"Leonard Fournette","TB","164.3","673.4","6.2","28.0","191.3","0.8","1.2","153.9"
